,index,holgura
0,"(0, 1)",0.0
1,"(0, 2)",0.0
2,"(0, 3)",0.0
3,"(0, 4)",0.0
4,"(0, 5)",0.0
5,"(0, 6)",0.0
6,"(0, 7)",0.0
7,"(0, 8)",0.0
8,"(1, 1)",-1.0658141036401503e-14
9,"(1, 2)",-3.552713678800501e-15
10,"(1, 3)",0.0
11,"(1, 4)",0.0
12,"(1, 5)",0.0
13,"(1, 6)",0.0
14,"(1, 7)",0.0
15,"(1, 8)",0.0
16,"(2, 1)",0.0
17,"(2, 2)",0.0
18,"(2, 3)",0.0
19,"(2, 4)",0.0
20,"(2, 5)",0.0
21,"(2, 6)",0.0
22,"(2, 7)",0.0
23,"(2, 8)",0.0
24,"(3, 1)",-3.552713678800501e-15
25,"(3, 2)",0.0
26,"(3, 3)",0.0
27,"(3, 4)",0.0
28,"(3, 5)",0.0
29,"(3, 6)",0.0
30,"(3, 7)",0.0
31,"(3, 8)",0.0
32,"(4, 1)",0.0
33,"(4, 2)",0.0
34,"(4, 3)",0.0
35,"(4, 4)",0.0
36,"(4, 5)",0.0
37,"(4, 6)",0.0
38,"(4, 7)",0.0
39,"(4, 8)",0.0
40,"(5, 1)",0.0
41,"(5, 2)",0.0
42,"(5, 3)",0.0
43,"(5, 4)",0.0
44,"(5, 5)",0.0
45,"(5, 6)",0.0
46,"(5, 7)",0.0
47,"(5, 8)",0.0
48,"(6, 1)",0.0
49,"(6, 2)",0.0
50,"(6, 3)",0.0
51,"(6, 4)",0.0
52,"(6, 5)",0.0
53,"(6, 6)",0.0
54,"(6, 7)",0.0
55,"(6, 8)",0.0
56,"(7, 1)",0.0
57,"(7, 2)",0.0
58,"(7, 3)",0.0
59,"(7, 4)",0.0
60,"(7, 5)",0.0
61,"(7, 6)",0.0
62,"(7, 7)",0.0
63,"(7, 8)",0.0
64,"(8, 1)",0.0
65,"(8, 2)",0.0
66,"(8, 3)",0.0
67,"(8, 4)",0.0
68,"(8, 5)",0.0
69,"(8, 6)",0.0
70,"(8, 7)",0.0
71,"(8, 8)",0.0
72,"(9, 1)",0.0
73,"(9, 2)",0.0
74,"(9, 3)",-3.552713678800501e-15
75,"(9, 4)",0.0
76,"(9, 5)",0.0
77,"(9, 6)",0.0
78,"(9, 7)",0.0
79,"(9, 8)",-1.7763568394002505e-15
80,"(10, 1)",0.0
81,"(10, 2)",0.0
82,"(10, 3)",0.0
83,"(10, 4)",0.0
84,"(10, 5)",0.0
85,"(10, 6)",0.0
86,"(10, 7)",0.0
87,"(10, 8)",0.0
88,"(11, 1)",-1.5987211554602254e-14
89,"(11, 2)",0.0
90,"(11, 3)",0.0
91,"(11, 4)",0.0
92,"(11, 5)",0.0
93,"(11, 6)",0.0
94,"(11, 7)",0.0
95,"(11, 8)",0.0
96,"(12, 1)",0.0
97,"(12, 2)",0.0
98,"(12, 3)",0.0
99,"(12, 4)",0.0
100,"(12, 5)",0.0
101,"(12, 6)",0.0
102,"(12, 7)",0.0
103,"(12, 8)",0.0
104,"(13, 1)",0.0
105,"(13, 2)",0.0
106,"(13, 3)",0.0
107,"(13, 4)",0.0
108,"(13, 5)",0.0
109,"(13, 6)",0.0
110,"(13, 7)",0.0
111,"(13, 8)",0.0
112,"(14, 1)",-4.440892098500626e-16
113,"(14, 2)",0.0
114,"(14, 3)",0.0
115,"(14, 4)",0.0
116,"(14, 5)",0.0
117,"(14, 6)",0.0
118,"(14, 7)",0.0
119,"(14, 8)",0.0
120,"(15, 1)",0.0
121,"(15, 2)",0.0
122,"(15, 3)",0.0
123,"(15, 4)",0.0
124,"(15, 5)",0.0
125,"(15, 6)",0.0
126,"(15, 7)",0.0
127,"(15, 8)",0.0
128,"(16, 1)",0.0
129,"(16, 2)",0.0
130,"(16, 3)",0.0
131,"(16, 4)",0.0
132,"(16, 5)",0.0
133,"(16, 6)",0.0
134,"(16, 7)",0.0
135,"(16, 8)",0.0
136,"(17, 1)",0.0
137,"(17, 2)",0.0
138,"(17, 3)",0.0
139,"(17, 4)",0.0
140,"(17, 5)",0.0
141,"(17, 6)",0.0
142,"(17, 7)",0.0
143,"(17, 8)",0.0
144,"(18, 1)",0.0
145,"(18, 2)",0.0
146,"(18, 3)",0.0
147,"(18, 4)",0.0
148,"(18, 5)",0.0
149,"(18, 6)",0.0
150,"(18, 7)",0.0
151,"(18, 8)",0.0
152,"(19, 1)",0.0
153,"(19, 2)",0.0
154,"(19, 3)",0.0
155,"(19, 4)",0.0
156,"(19, 5)",0.0
157,"(19, 6)",0.0
158,"(19, 7)",0.0
159,"(19, 8)",0.0
160,"(20, 1)",0.0
161,"(20, 2)",0.0
162,"(20, 3)",0.0
163,"(20, 4)",0.0
164,"(20, 5)",0.0
165,"(20, 6)",0.0
166,"(20, 7)",0.0
167,"(20, 8)",0.0
