,index,holgura
0,"(0, 0, 1)",0.0
1,"(0, 1, 1)",0.0
2,"(0, 2, 1)",0.0
3,"(0, 3, 1)",-1.0
4,"(0, 4, 1)",0.0
5,"(0, 5, 1)",-1.0
6,"(0, 6, 1)",-1.0
7,"(0, 7, 1)",0.0
8,"(0, 8, 1)",0.0
9,"(0, 9, 1)",0.0
10,"(0, 10, 1)",0.0
11,"(0, 11, 1)",0.0
12,"(0, 12, 1)",0.0
13,"(0, 13, 1)",0.0
14,"(0, 14, 1)",0.0
15,"(0, 15, 1)",0.0
16,"(0, 16, 1)",0.0
17,"(0, 17, 1)",0.0
18,"(0, 18, 1)",0.0
19,"(0, 19, 1)",0.0
20,"(0, 20, 1)",0.0
21,"(0, 21, 1)",0.0
22,"(0, 22, 1)",0.0
23,"(0, 23, 1)",0.0
24,"(0, 24, 1)",0.0
25,"(0, 25, 1)",0.0
26,"(0, 26, 1)",0.0
27,"(0, 27, 1)",0.0
28,"(0, 28, 1)",0.0
29,"(0, 29, 1)",0.0
30,"(0, 30, 1)",0.0
31,"(0, 31, 1)",0.0
32,"(0, 32, 1)",0.0
33,"(0, 33, 1)",0.0
34,"(0, 34, 1)",0.0
35,"(0, 35, 1)",0.0
36,"(0, 36, 1)",0.0
37,"(0, 37, 1)",0.0
38,"(0, 38, 1)",0.0
39,"(0, 39, 1)",0.0
40,"(0, 40, 1)",0.0
41,"(0, 41, 1)",0.0
42,"(0, 42, 1)",0.0
43,"(0, 43, 1)",0.0
44,"(0, 44, 1)",0.0
45,"(0, 45, 1)",0.0
46,"(0, 46, 1)",0.0
47,"(0, 47, 1)",0.0
48,"(0, 48, 1)",0.0
49,"(0, 49, 1)",0.0
50,"(0, 50, 1)",0.0
51,"(0, 51, 1)",0.0
52,"(1, 0, 1)",0.0
53,"(1, 1, 1)",0.0
54,"(1, 2, 1)",0.0
55,"(1, 3, 1)",0.0
56,"(1, 4, 1)",0.0
57,"(1, 5, 1)",0.0
58,"(1, 6, 1)",-7.0
59,"(1, 7, 1)",0.0
60,"(1, 8, 1)",0.0
61,"(1, 9, 1)",0.0
62,"(1, 10, 1)",0.0
63,"(1, 11, 1)",0.0
64,"(1, 12, 1)",0.0
65,"(1, 13, 1)",0.0
66,"(1, 14, 1)",0.0
67,"(1, 15, 1)",0.0
68,"(1, 16, 1)",-1.0
69,"(1, 17, 1)",0.0
70,"(1, 18, 1)",0.0
71,"(1, 19, 1)",0.0
72,"(1, 20, 1)",0.0
73,"(1, 21, 1)",0.0
74,"(1, 22, 1)",0.0
75,"(1, 23, 1)",0.0
76,"(1, 24, 1)",0.0
77,"(1, 25, 1)",0.0
78,"(1, 26, 1)",0.0
